Type,id,location,edges--elec_edge--constraints--MinFlowConstraint,edges--elec_edge--constraints--MinDownTimeConstraint,edges--elec_edge--constraints--CapacityConstraint,edges--elec_edge--constraints--MinUpTimeConstraint,edges--elec_edge--constraints--RampingLimitConstraint,edges--elec_edge--can_retire,edges--elec_edge--unidirectional,edges--elec_edge--commodity,edges--elec_edge--can_expand,edges--elec_edge--uc,edges--elec_edge--has_capacity,edges--fuel_edge--unidirectional,edges--fuel_edge--commodity,edges--fuel_edge--has_capacity,edges--co2_edge--end_vertex,edges--co2_edge--unidirectional,edges--co2_edge--commodity,edges--co2_edge--has_capacity,transforms--constraints--BalanceConstraint,transforms--timedata,edges--elec_edge--integer_decisions,edges--elec_edge--min_down_time,edges--elec_edge--lifetime,edges--elec_edge--wacc,edges--elec_edge--capital_recovery_period,edges--elec_edge--fixed_om_cost,edges--elec_edge--existing_capacity,edges--elec_edge--min_up_time,edges--elec_edge--capacity_size,edges--elec_edge--ramp_down_fraction,edges--elec_edge--end_vertex,edges--elec_edge--variable_om_cost,edges--elec_edge--investment_cost,edges--elec_edge--ramp_up_fraction,edges--elec_edge--min_flow_fraction,edges--elec_edge--startup_cost,edges--elec_edge--startup_fuel_consumption,edges--fuel_edge--start_vertex,transforms--fuel_consumption,transforms--emission_rate,Note
ThermalPower,BR_CW_Combined_Cycle,BR_CW,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,1,50,0.08,20,41190.8046,0,2,100,0.108672,elec_CW,7.53,1050365.517,0.108,0,104.7,0.586,natgas_BR,2.106,0.1813,
ThermalPower,BR_CW_Combined_Cycle_Existing,BR_CW,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,1,50,0.08,20,146227.3563,915,2,386,0.108672,elec_CW,1.1,0,0.108,0,104.7,0.586,natgas_BR,2.106,0.1813,
ThermalPower,BR_N_Combined_Cycle,BR_N,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,1,50,0.08,20,41190.8046,0,2,100,0.108672,elec_N,7.53,1050365.517,0.108,0,104.7,0.586,natgas_BR,2.106,0.1813,
ThermalPower,BR_N_Combined_Cycle_Existing,BR_N,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,1,50,0.08,20,146227.3563,732,2,591,0.108672,elec_N,1.1,0,0.108,0,104.7,0.586,natgas_BR,2.106,0.1813,
ThermalPower,BR_NE_Combined_Cycle,BR_NE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,1,50,0.08,20,41190.8046,0,2,100,0.108672,elec_NE,7.53,1050365.517,0.108,0,104.7,0.586,natgas_BR,2.106,0.1813,
ThermalPower,BR_NE_Combined_Cycle_Existing,BR_NE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,1,50,0.08,20,146227.3563,6010,2,186,0.108672,elec_NE,1.1,0,0.108,0,104.7,0.586,natgas_BR,2.106,0.1813,
ThermalPower,BR_S_Combined_Cycle,BR_S,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,1,50,0.08,20,41190.8046,0,2,100,0.108672,elec_S,7.53,1050365.517,0.108,0,104.7,0.586,natgas_BR,2.106,0.1813,
ThermalPower,BR_S_Combined_Cycle_Existing,BR_S,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,1,50,0.08,20,146227.3563,1372,2,484,0.108672,elec_S,1.1,0,0.108,0,104.7,0.586,natgas_BR,2.106,0.1813,
ThermalPower,BR_SE_Combined_Cycle,BR_SE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,1,50,0.08,20,41190.8046,0,2,100,0.108672,elec_SE,7.53,1050365.517,0.108,0,104.7,0.586,natgas_BR,2.106,0.1813,
ThermalPower,BR_SE_Combined_Cycle_Existing,BR_SE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,1,50,0.08,20,146227.3563,7307,2,235,0.108672,elec_SE,1.1,0,0.108,0,104.7,0.586,natgas_BR,2.106,0.1813,
